timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716837781601,1,Get Paciente,404,Not Found,Thread Group 1-1,text,false,,151,128,1,1,http://localhost:9090/paciente/id,1,0,0
1716837781603,1,Get Paciente,200,OK,Thread Group 1-1,text,true,,1256,127,1,1,http://localhost:9090/paciente/1,1,0,0
1716837781604,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-1,text,false,,2067,0,1,1,http://localhost:9090/paciente/6,0,0,0
1716837781605,2,Get Paciente,200,OK,Thread Group 1-1,text,true,,1414,128,1,1,http://localhost:9090/paciente/31,2,0,0
1716837781607,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-1,text,false,,2067,0,1,1,http://localhost:9090/paciente/32,0,0,0
1716837781851,197,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-2,text,false,,2067,0,1,1,http://localhost:9090/paciente/34,0,0,1
1716837782048,3,Get Paciente,200,OK,Thread Group 1-2,text,true,,1254,128,1,1,http://localhost:9090/paciente/38,3,0,0
1716837782051,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-2,text,false,,2067,0,1,1,http://localhost:9090/paciente/44,0,0,0
1716837782052,2,Get Paciente,200,OK,Thread Group 1-2,text,true,,1350,128,1,1,http://localhost:9090/paciente/48,2,0,0
1716837782054,1,Get Paciente,200,OK,Thread Group 1-2,text,true,,1410,128,1,1,http://localhost:9090/paciente/51,1,0,0
1716837782101,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-3,text,false,,2067,0,1,1,http://localhost:9090/paciente/52,0,0,0
1716837782102,2,Get Paciente,200,OK,Thread Group 1-3,text,true,,1355,133,1,1,http://localhost:9090/paciente/6000002,2,0,0
1716837782105,0,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-3,text,false,,2067,0,1,1,http://localhost:9090/paciente/6000003,0,0,0
1716837782105,2,Get Paciente,200,OK,Thread Group 1-3,text,true,,1399,133,1,1,http://localhost:9090/paciente/6000004,2,0,0
1716837782107,1,Get Paciente,200,OK,Thread Group 1-3,text,true,,1425,133,1,1,http://localhost:9090/paciente/6000010,1,0,0
1716837782351,2,Get Paciente,200,OK,Thread Group 1-4,text,true,,1411,133,1,1,http://localhost:9090/paciente/6000013,2,0,1
1716837782353,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-4,text,false,,2067,0,1,1,http://localhost:9090/paciente/6000014,0,0,0
1716837782354,3,Get Paciente,200,OK,Thread Group 1-4,text,true,,1372,133,1,1,http://localhost:9090/paciente/6000015,3,0,0
1716837782357,2,Get Paciente,200,OK,Thread Group 1-4,text,true,,1259,133,1,1,http://localhost:9090/paciente/6000016,2,0,0
1716837782359,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-4,text,false,,2067,0,1,1,http://localhost:9090/paciente/6000018,0,0,0
1716837782601,1,Get Paciente,200,OK,Thread Group 1-5,text,true,,1356,133,1,1,http://localhost:9090/paciente/6000023,1,0,0
1716837782602,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-5,text,false,,2067,0,1,1,http://localhost:9090/paciente/6000024,0,0,0
1716837782603,3,Get Paciente,200,OK,Thread Group 1-5,text,true,,1345,133,1,1,http://localhost:9090/paciente/6000030,3,0,1
1716837782606,1,Get Paciente,200,OK,Thread Group 1-5,text,true,,1341,133,1,1,http://localhost:9090/paciente/6000031,1,0,0
1716837782607,1,Get Paciente,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9090 failed to respond,Thread Group 1-5,text,false,,2067,0,1,1,http://localhost:9090/paciente/6000032,0,0,0
1716837782851,191,Get Paciente,200,OK,Thread Group 1-6,text,true,,1351,133,1,1,http://localhost:9090/paciente/6000033,191,0,0
